FLTID,DEPSTN,ARRSTN,typical_hour,n_flights
TU 9177 ,TUN,DJE,12,11
TU 6017 ,TUN,SFA,19,11
TU 6032 ,JED,SFA,0,11
TU 7231 ,BTS,MIR,15,11
TU 6005 ,TOE,MED,19,11
TU 6032 ,SFA,TUN,7,11
TU 9041 ,MIR,DJE,13,11
TU 9010 ,NBE,TUN,20,11
TU 6029 ,TUN,TOE,19,11
TU 0789 ,OST,TUN,16,11
TU 6044 ,JED,TUN,4,11
TU 7453 ,NTE,DJE,20,11
TU 6132 ,MIR,BTS,11,11
TU 6043 ,TUN,JED,22,11
TU 9005 ,MIR,TUN,22,10
UG 0206 ,TUN,EBM,7,10
UG 0207 ,EBM,TUN,11,10
TU 6007 ,DJE,JED,18,10
TU 9005 ,MIR,DJE,12,10
TU 9008 ,TUN,DJE,2,10
TU 6008 ,MED,SFA,1,10
TU 9035 ,DJE,MIR,13,10
TU 9095 ,MIR,DJE,21,10
TU 6193 ,BEG,MIR,8,10
UG 1310 ,SFA,CDG,10,10
AT 0171 ,OUD,NDR,22,10
TU 2004 ,MIR,VRN,12,10
UG 0206 ,EBM,GAE,9,10
AT 0680 ,NDR,BRU,1,10
TU 8612 ,DJE,BOD,6,10
TU 9026 ,TUN,DJE,3,10
TU 8612 ,BOD,TLS,9,10
TU 9029 ,TUN,DJE,13,10
TU 6022 ,MED,TOE,3,10
TU 6030 ,TOE,TUN,10,10
AT 0683 ,BRU,TNG,10,10
TU 9011 ,SFA,DJE,12,10
TU 6017 ,TUN,DJE,19,10
TU 6017 ,TUN,TOE,18,10
TU 9009 ,TUN,MIR,2,10
TU 9037 ,DJE,TUN,22,10
TU 6143 ,KSC,MIR,7,10
TU 6496 ,NBE,DJE,6,10
TU 6142 ,MIR,KSC,4,10
TU 9081 ,MIR,DJE,22,10
TU 6006 ,SFA,TUN,6,10
UG 0207 ,GAE,EBM,10,10
TU 4013 ,CDG,DJE,21,10
TU 9041 ,DJE,MIR,12,10
TU 0727 ,BRU,DJE,11,10
TU 6018 ,JED,TUN,2,10
TU 8613 ,TLS,DJE,10,10
TU 8225 ,OPO,NBE,10,10
TU 8224 ,MIR,OPO,5,10
TU 7256 ,MIR,KSC,14,10
TU 6192 ,MIR,BEG,5,10
TU 4012 ,DJE,CDG,18,10
UG 1310 ,TUN,SFA,9,10
TU 6008 ,JED,DJE,23,10
AT 0682 ,TNG,BRU,15,10
AT 0651 ,ORY,OUD,11,10
TU 0836 ,MIR,CDG,17,9
TU 9097 ,TUN,DJE,12,9
TU 0835 ,CDG,DJE,21,9
TU 6497 ,DJE,NBE,15,9
TU 9004 ,MIR,SFA,3,9
TU 9001 ,NBE,TUN,21,9
TU 9009 ,SFA,DJE,12,9
TU 0837 ,CDG,MIR,21,9
TU 9010 ,DJE,TUN,6,9
TU 6016 ,TOE,TUN,6,9
TU 6015 ,TUN,TOE,17,9
TU 0834 ,DJE,CDG,17,9
TU 6040 ,JED,TUN,3,9
TU 9011 ,TUN,NBE,5,9
TU 6021 ,TUN,DJE,20,9
TU 6018 ,DJE,TUN,7,9
TU 7257 ,KSC,MIR,17,9
AT 0650 ,OUD,ORY,7,9
TU 9004 ,DJE,MIR,2,9
AT 0167 ,NDR,OUD,14,9
AT 0681 ,BRU,NDR,20,9
TU 6022 ,DJE,TUN,9,9
TU 9095 ,DJE,TUN,20,9
TU 9003 ,SFA,MIR,12,9
TU 9003 ,TUN,NBE,5,9
TU 9006 ,MIR,TUN,2,9
TU 6008 ,DJE,TUN,4,9
UG 0226 ,TUN,EBM,7,8
UG 0227 ,DJE,EBM,10,8
UG 0227 ,EBM,TUN,11,8
TU 0251 ,MIR,DJE,12,8
TU 0709 ,CZL,TUN,17,8
UG 1601 ,SJJ,TUN,9,8
TU 9003 ,DJE,SFA,3,8
UG 1270 ,DJE,CDG,7,8
TU 9093 ,DJE,TUN,0,8
TU 9094 ,TUN,DJE,4,8
TU 6010 ,DJE,TUN,6,8
TU 9003 ,NBE,TUN,17,8
TU 9018 ,DJE,TUN,11,8
TU 8217 ,AYT,TUN,21,8
TU 0515 ,MAD,TUN,17,8
TU 0515 ,BCN,MAD,15,8
TU 6119 ,BUD,MIR,15,8
TU 6118 ,MIR,BUD,12,8
TU 8601 ,CDG,DJE,17,8
TU 8601 ,NTE,DJE,11,8
TU 0436 ,TOE,ORY,5,8
TU 8216 ,TUN,AYT,17,8
TU 9013 ,DJE,NBE,3,8
TU 0437 ,ORY,TOE,9,8
TU 8631 ,CDG,MIR,20,8
TU 6018 ,JED,DJE,2,8
TU 8630 ,MIR,CDG,17,8
TU 6020 ,DJE,TUN,5,8
TU 7455 ,CDG,DJE,16,8
TU 6021 ,TUN,MED,22,8
TU 9010 ,TUN,MIR,3,8
TU 6017 ,DJE,JED,20,8
TU 6029 ,TOE,JED,21,8
TU 9065 ,SFA,MIR,12,8
TU 0607 ,MAD,LIS,17,8
TU 9031 ,DJE,TUN,20,8
TU 6017 ,TOE,JED,20,8
TU 0709 ,ORN,CZL,15,8
TU 0648 ,NBE,FRA,15,8
TU 9099 ,DJE,TUN,11,8
TU 0649 ,NBE,DJE,22,8
TU 9002 ,DJE,TOE,4,8
TU 4701 ,BLL,MIR,8,8
TU 0648 ,DJE,NBE,14,8
UG 1600 ,TUN,SJJ,6,8
UG 0226 ,EBM,DJE,9,8
TU 0250 ,DJE,MIR,5,8
TU 9006 ,MIR,DJE,20,8
TU 9001 ,TUN,NBE,4,8
TU 9010 ,NBE,DJE,20,8
TU 6015 ,TOE,JED,19,8
TU 4700 ,MIR,BLL,4,8
TU 9000 ,DJE,TUN,14,8
TU 9011 ,NBE,DJE,19,8
TU 6361 ,CDG,DJE,10,8
TU 9064 ,DJE,SFA,8,8
TU 6360 ,DJE,CDG,6,8
UG 1854 ,TUN,ARN,8,7
TU 0788 ,DJE,BRU,9,7
TU 6039 ,TUN,JED,19,7
TU 8601 ,MRS,DJE,19,7
TU 0788 ,TUN,DJE,8,7
TU 0283 ,BOD,TUN,11,7
UG 0501 ,MIR,TUN,5,7
UG 1201 ,NTE,TUN,20,7
TU 0680 ,MIR,TUN,7,7
TU 9006 ,DJE,MIR,15,7
TU 6009 ,TUN,DJE,18,7
TU 6230 ,TUN,CDG,13,7
TU 6018 ,JED,SFA,2,7
TU 6017 ,TUN,JED,20,7
TU 0789 ,DJE,TUN,17,7
TU 9011 ,TUN,DJE,4,7
TU 9000 ,DJE,MIR,3,7
TU 6018 ,MED,TUN,5,7
TU 0789 ,BRU,DJE,13,7
TU 6019 ,TUN,DJE,16,7
TU 6030 ,JED,TOE,2,7
TU 8612 ,DJE,LYS,6,7
TU 6055 ,TUN,JED,19,7
TU 8537 ,CGN,MIR,19,7
TU 8536 ,MIR,CGN,16,7
TU 6056 ,JED,TUN,1,7
TU 7454 ,DJE,NTE,11,7
TU 8533 ,SXF,MIR,7,7
TU 9014 ,DJE,NBE,5,7
UG 1855 ,ARN,TUN,12,7
TU 8532 ,MIR,SXF,3,7
TU 0694 ,DJE,TUN,6,7
TU 0694 ,TUN,MRS,7,7
TU 6010 ,SFA,TUN,7,7
TU 6014 ,JED,TOE,1,7
TU 6036 ,JED,TUN,3,7
TU 6035 ,TUN,JED,18,7
TU 6034 ,JED,TUN,2,7
TU 9017 ,NBE,DJE,20,7
TU 6017 ,SFA,JED,20,7
TU 0722 ,TUN,CDG,14,7
TU 0723 ,CDG,TUN,17,7
TU 6231 ,CDG,TUN,16,7
TU 9053 ,MIR,TUN,10,7
TU 9055 ,TUN,DJE,5,7
TU 9009 ,TUN,DJE,19,7
TU 0602 ,DJE,ZRH,8,7
TU 0393 ,TUN,BKO,14,7
TU 9011 ,DJE,NBE,5,7
TU 6015 ,TUN,SFA,17,7
TU 6016 ,JED,DJE,0,7
TU 0602 ,TUN,DJE,6,7
TU 0726 ,DJE,BRU,7,7
TU 0603 ,ZRH,DJE,9,7
TU 0603 ,DJE,TUN,12,7
TU 9089 ,DJE,TUN,20,7
TU 9085 ,MIR,TUN,12,7
TU 6016 ,SFA,TUN,6,7
TU 0283 ,TLS,BOD,10,7
TU 0680 ,TUN,MRS,8,7
TU 0668 ,TUN,BRU,15,7
TU 0668 ,DJE,TUN,5,7
TU 9052 ,TUN,MIR,2,7
TU 0649 ,FRA,NBE,19,7
TU 9041 ,DJE,TUN,12,7
TU 0695 ,MRS,TUN,10,7
TU 0700 ,ZRH,GVA,12,7
TU 6221 ,CDG,DJE,17,7
TU 6008 ,JED,SFA,0,7
TU 6015 ,DJE,MED,0,7
TU 6015 ,DJE,JED,20,7
TU 9005 ,NBE,TUN,20,7
TU 9004 ,DJE,TUN,22,7
TU 5513 ,TUN,JED,19,7
UG 1200 ,TUN,LYS,15,7
UG 1270 ,TUN,CDG,5,6
UG 1201 ,LYS,NTE,18,6
TU 0683 ,MIR,DJE,16,6
TU 0683 ,NCE,MIR,14,6
TU 0669 ,TUN,DJE,14,6
TU 5506 ,MED,TUN,2,6
TU 4602 ,DJE,GVA,14,6
TU 4603 ,GVA,DJE,16,6
TU 3374 ,TUN,ALG,12,6
TU 3375 ,ALG,TUN,15,6
TU 9004 ,MIR,TUN,22,6
TU 9144 ,DJE,MIR,4,6
TU 2300 ,MIR,MXP,15,6
TU 2301 ,MIR,DJE,21,6
TU 2301 ,MXP,MIR,18,6
TU 9009 ,DJE,NBE,5,6
TU 9010 ,DJE,MIR,3,6
TU 9009 ,DJE,TUN,22,6
TU 6014 ,MED,TOE,22,6
TU 6013 ,TOE,MED,17,6
TU 9177 ,DJE,TUN,21,6
TU 0393 ,DSS,TUN,22,6
TU 0437 ,TOE,DJE,22,6
TU 6018 ,MED,SFA,1,6
TU 8613 ,NTE,DJE,9,6
TU 8711 ,LYS,DJE,10,6
TU 6021 ,DJE,JED,23,6
TU 6022 ,JED,DJE,4,6
TU 6022 ,JED,TOE,2,6
TU 6021 ,TOE,JED,20,6
TU 6021 ,TOE,MED,0,6
TU 6016 ,MED,DJE,21,6
TU 6009 ,TUN,SFA,20,6
TU 6010 ,MED,DJE,0,6
TU 0319 ,LIS,BCN,17,6
TU 0393 ,BKO,DSS,19,6
TU 6013 ,TOE,JED,19,6
TU 2300 ,DJE,MIR,14,6
TU 9004 ,DJE,NBE,3,6
TU 9003 ,TOE,MIR,16,6
TU 5526 ,MED,TUN,3,6
TU 5524 ,JED,TUN,1,6
TU 6028 ,JED,TUN,1,6
TU 6028 ,SFA,TUN,6,6
TU 6027 ,TUN,JED,20,6
TU 8601 ,CDG,MRS,17,6
TU 0526 ,TUN,DJE,6,6
TU 6039 ,TOE,JED,10,6
TU 6039 ,TUN,TOE,8,6
TU 2600 ,DJE,ORY,13,6
TU 2601 ,ORY,DJE,16,6
TU 6022 ,MED,TUN,3,6
TU 0588 ,TUN,LYS,8,6
TU 6050 ,JED,DJE,22,6
TU 9020 ,TUN,DJE,4,6
TU 0526 ,DJE,DUS,14,6
TU 0727 ,CRL,MIR,9,6
TU 0726 ,MIR,CRL,6,6
TU 6220 ,DJE,CDG,13,6
TU 0588 ,DJE,TUN,7,6
TU 0629 ,TLS,TUN,18,6
TU 0629 ,BOD,TLS,17,6
TU 9036 ,TUN,TOE,3,6
TU 9069 ,DJE,TUN,13,6
TU 0681 ,MRS,TUN,10,6
TU 0681 ,TUN,MIR,13,6
TU 9047 ,MIR,DJE,21,6
TU 9052 ,DJE,NBE,3,6
TU 0695 ,MRS,NCE,10,6
TU 0695 ,NCE,DJE,12,6
TU 0695 ,TUN,DJE,12,6
TU 0669 ,BRU,TUN,11,6
TU 9040 ,TUN,NBE,5,6
TU 6006 ,JED,SFA,2,6
TU 6005 ,SFA,MED,0,6
TU 6007 ,SFA,JED,20,6
TU 5502 ,MED,TUN,2,6
UG 0501 ,TUN,MIR,4,6
TU 3509 ,BRU,MIR,11,6
TU 3508 ,MIR,BRU,14,6
TU 0850 ,MIR,TUN,11,5
UG 1200 ,DJE,LYS,6,5
TU 9006 ,NBE,TUN,7,5
TU 0851 ,TUN,MIR,18,5
TU 6049 ,TUN,DJE,16,5
TU 6049 ,DJE,JED,17,5
TU 0209 ,NTE,DJE,10,5
UG 0405 ,DJE,TUN,1,5
TU 9064 ,TUN,SFA,4,5
TU 3528 ,MIR,BRU,10,5
TU 0246 ,DJE,SXB,14,5
TU 6298 ,DJE,CDG,18,5
UG 9006 ,TOE,GAF,16,5
TU 3529 ,BRU,MIR,14,5
TU 6016 ,JED,SFA,0,5
UG 1204 ,TUN,CDG,3,5
UG 1205 ,CDG,TUN,6,5
UG 1208 ,TUN,CDG,9,5
UG 1209 ,CDG,TUN,12,5
TU 5511 ,TUN,MED,17,5
TU 8601 ,ORY,NTE,9,5
TU 6050 ,DJE,TUN,4,5
TU 5501 ,TUN,MED,18,5
TU 0789 ,RTM,TUN,10,5
TU 0788 ,TUN,RTM,6,5
TU 6037 ,TUN,JED,20,5
TU 6038 ,JED,TUN,1,5
TU 6033 ,TUN,JED,0,5
TU 9012 ,TUN,DJE,3,5
TU 5505 ,TUN,MED,17,5
TU 5501 ,TUN,JED,17,5
TU 9040 ,TUN,DJE,4,5
TU 9055 ,DJE,MIR,13,5
TU 0635 ,ORY,TUN,10,5
TU 9085 ,MIR,DJE,12,5
TU 6016 ,JED,TUN,2,5
TU 9027 ,DJE,TUN,14,5
TU 9725 ,ORY,TUN,22,5
TU 0682 ,DJE,MIR,10,5
TU 6016 ,JED,TOE,0,5
TU 9177 ,TUN,MIR,4,5
TU 9047 ,NBE,TUN,21,5
TU 2721 ,ORY,TUN,14,5
TU 0441 ,DJE,MIR,20,5
TU 6024 ,JED,DJE,3,5
TU 0682 ,MIR,NCE,11,5
TU 0782 ,MIR,TUN,6,5
TU 0635 ,TUN,DJE,13,5
TU 6030 ,JED,TUN,0,5
TU 5523 ,TUN,JED,19,5
TU 6027 ,TUN,SFA,17,5
TU 5514 ,JED,TUN,0,5
TU 9015 ,DJE,TUN,1,5
TU 8600 ,DJE,ORY,6,5
TU 0539 ,DUS,NBE,11,5
TU 0539 ,NBE,DJE,15,5
TU 6041 ,TOE,JED,13,5
TU 5525 ,TUN,MED,21,5
TU 6009 ,DJE,MED,19,5
TU 6015 ,SFA,MED,19,5
TU 6023 ,TUN,TOE,19,5
TU 6009 ,TUN,JED,4,5
TU 6010 ,JED,DJE,1,5
TU 6010 ,JED,SFA,0,5
TU 6006 ,MED,SFA,0,5
TU 6006 ,MED,TUN,3,5
TU 6014 ,JED,TUN,23,5
UG 0021 ,SFA,DJE,20,5
TU 0319 ,BCN,TUN,20,5
TU 6002 ,TOE,TUN,5,5
TU 6006 ,JED,TOE,0,5
TU 6005 ,SFA,JED,20,5
TU 7452 ,DJE,CDG,17,5
TU 6001 ,TUN,TOE,16,5
TU 7453 ,CDG,DJE,21,5
TU 9097 ,DJE,MIR,19,5
TU 6592 ,HAM,SXF,15,5
TU 0782 ,TUN,BRU,7,5
TU 0527 ,DJE,TUN,15,5
TU 6592 ,NBE,HAM,11,5
TU 9051 ,TUN,DJE,12,5
TU 9011 ,SFA,MIR,12,5
TU 6057 ,DJE,JED,14,5
TU 6057 ,TUN,DJE,12,5
TU 8710 ,DJE,NTE,5,5
TU 8711 ,NTE,LYS,8,5
TU 9082 ,TUN,DJE,12,5
TU 0538 ,NBE,DUS,8,5
TU 6390 ,MIR,CDG,17,5
TU 6391 ,CDG,MIR,20,5
TU 0606 ,MAD,LIS,17,5
TU 6350 ,DJE,LYS,13,5
TU 0527 ,DUS,DJE,11,5
TU 0538 ,DJE,NBE,6,5
TU 0432 ,DJE,ORY,15,5
TU 9035 ,TUN,MIR,4,5
TU 0441 ,ORY,DJE,10,5
TU 9005 ,TUN,NBE,3,5
TU 6020 ,JED,DJE,0,5
TU 6020 ,MED,TUN,3,5
TU 0209 ,DJE,TUN,22,5
TU 0433 ,ORY,DJE,18,5
TU 9004 ,DJE,SFA,3,5
TU 9002 ,TUN,NBE,3,5
UG 0500 ,MIR,TUN,4,5
UG 0500 ,TUN,MIR,13,5
TU 9008 ,DJE,TUN,0,5
TU 9065 ,SFA,TUN,16,4
TU 6058 ,DJE,TUN,2,4
TU 3004 ,DJE,CDG,0,4
TU 9007 ,TUN,DJE,12,4
TU 9007 ,DJE,TUN,14,4
UG 0401 ,TOE,TUN,18,4
UG 0205 ,SFA,TUN,11,4
TU 0726 ,MIR,OST,13,4
TU 0727 ,OST,MIR,18,4
TU 9006 ,DJE,SFA,3,4
TU 9006 ,TUN,MIR,4,4
TU 9038 ,TUN,MIR,3,4
TU 6021 ,TUN,JED,2,4
TU 6018 ,TOE,TUN,8,4
TU 6019 ,DJE,JED,18,4
TU 6019 ,DJE,MED,16,4
TU 9031 ,TUN,MIR,11,4
TU 0440 ,MIR,DJE,5,4
TU 0440 ,DJE,ORY,13,4
TU 6351 ,LYS,NTE,16,4
TU 6351 ,NTE,DJE,18,4
TU 0628 ,TUN,TLS,12,4
TU 0527 ,TUN,MIR,17,4
TU 9080 ,TUN,MIR,5,4
TU 9010 ,TUN,DJE,2,4
TU 2375 ,ALG,TUN,5,4
TU 2500 ,DJE,CDG,23,4
TU 2901 ,CDG,DJE,0,4
TU 2900 ,DJE,CDG,0,4
TU 9063 ,MIR,DJE,11,4
TU 9010 ,MIR,SFA,3,4
TU 8641 ,NTE,DJE,7,4
TU 9000 ,CDG,ORY,5,4
TU 9011 ,DJE,TUN,1,4
TU 9011 ,MIR,DJE,3,4
TU 6058 ,JED,DJE,19,4
TU 6059 ,TUN,JED,19,4
TU 9068 ,TUN,MIR,3,4
TU 6032 ,JED,TUN,2,4
TU 9089 ,DJE,MIR,20,4
TU 9051 ,MIR,DJE,4,4
TU 6600 ,TUN,MXP,19,4
TU 6601 ,MXP,TUN,22,4
TU 9093 ,NBE,DJE,18,4
UG 0010 ,TOE,DJE,16,4
UG 0010 ,TUN,TOE,15,4
UG 0011 ,DJE,MIR,19,4
TU 9020 ,TUN,MIR,5,4
TU 0783 ,BRU,TUN,11,4
TU 0294 ,TUN,VKO,19,4
TU 0295 ,VKO,TUN,0,4
TU 9020 ,DJE,TUN,7,4
TU 7454 ,DJE,CDG,15,4
TU 7453 ,MRS,DJE,22,4
TU 7451 ,CDG,DJE,17,4
UG 0011 ,DJE,TOE,19,4
UG 0011 ,MIR,TUN,20,4
UG 0011 ,TOE,TUN,20,4
TU 8084 ,DJE,VRN,13,4
TU 8085 ,VRN,DJE,16,4
TU 7455 ,NTE,CDG,15,4
TU 0251 ,NCE,TUN,10,4
TU 0251 ,TUN,MIR,13,4
TU 6005 ,TOE,JED,19,4
TU 6007 ,TUN,DJE,16,4
TU 6014 ,MED,TUN,1,4
TU 6005 ,TUN,JED,1,4
TU 6009 ,SFA,JED,19,4
TU 6009 ,SFA,MED,21,4
TU 6008 ,MED,TUN,21,4
TU 6009 ,DJE,JED,19,4
TU 6013 ,TUN,JED,18,4
TU 6013 ,TUN,MED,17,4
TU 9024 ,TUN,MIR,4,4
TU 6010 ,JED,TUN,9,4
TU 6024 ,TOE,TUN,8,4
TU 9096 ,TUN,DJE,11,4
TU 3067 ,CDG,DJE,2,4
TU 0467 ,DJE,TUN,22,4
TU 5521 ,TUN,JED,16,4
TU 0250 ,TUN,NCE,8,4
TU 0251 ,DJE,MIR,20,4
TU 9013 ,DJE,TUN,23,4
TU 9013 ,MIR,DJE,18,4
TU 0251 ,NCE,DJE,17,4
TU 9015 ,TUN,DJE,4,4
TU 9014 ,NBE,DJE,14,4
TU 9014 ,NBE,TUN,14,4
TU 0757 ,TUN,DJE,17,4
TU 5520 ,JED,TUN,0,4
TU 6028 ,JED,SFA,0,4
TU 6027 ,SFA,JED,19,4
TU 0756 ,DJE,TUN,10,4
TU 9015 ,TUN,MIR,12,4
TU 9014 ,TUN,NBE,3,4
TU 0783 ,TUN,MIR,14,4
TU 0526 ,MIR,TUN,10,4
TU 6031 ,TUN,MED,22,4
TU 6029 ,TUN,JED,19,4
TU 6024 ,DJE,TUN,6,4
TU 9094 ,TUN,MIR,3,4
TU 6022 ,JED,TUN,1,4
TU 6022 ,MED,DJE,3,4
TU 6021 ,DJE,MED,22,4
TU 9111 ,DJE,TUN,23,4
TU 9111 ,MIR,DJE,3,4
TU 9111 ,TUN,DJE,12,4
TU 9099 ,DJE,MIR,19,4
TU 0681 ,MIR,TUN,22,4
TU 9045 ,DJE,TUN,21,4
TU 6023 ,TUN,DJE,20,4
TU 6023 ,DJE,JED,22,4
TU 6015 ,TUN,JED,19,4
TU 9178 ,DJE,TUN,14,4
TU 9177 ,MIR,TUN,10,4
TU 0745 ,MIR,TUN,15,4
TU 0744 ,MIR,TUN,5,4
TU 9027 ,TUN,MIR,6,4
TU 6016 ,MED,TOE,0,4
TU 6017 ,TUN,MED,0,4
TU 0701 ,ZRH,GVA,12,4
TU 9040 ,DJE,NBE,5,4
TU 5503 ,TUN,MED,19,4
TU 9057 ,MIR,DJE,19,4
TU 5504 ,MED,TUN,0,4
TU 5509 ,TUN,JED,20,4
TU 5507 ,DJE,JED,19,4
TU 5502 ,JED,TUN,23,4
TU 6041 ,TUN,TOE,18,4
TU 9012 ,NBE,DJE,19,4
TU 5512 ,MED,TUN,23,4
TU 5510 ,MED,TUN,2,4
TU 6042 ,JED,TOE,2,4
TU 6042 ,TOE,TUN,10,4
TU 6040 ,JED,TOE,1,4
TU 6040 ,TOE,TUN,8,4
TU 6017 ,DJE,MED,0,4
TU 6017 ,SFA,MED,23,4
UG 9003 ,TOE,GAF,16,4
UG 1201 ,LYS,DJE,11,4
TU 9083 ,MIR,TUN,19,4
UG 0203 ,TBJ,TUN,10,4
UG 0204 ,SFA,EBM,8,4
UG 0204 ,TUN,SFA,6,4
UG 0205 ,EBM,SFA,9,4
TU 3442 ,TUN,CDG,1,4
UG 0400 ,TUN,TOE,17,4
TU 0250 ,MIR,TUN,7,4
TU 0247 ,SXB,DJE,18,4
TU 2508 ,DJE,CDG,12,4
TU 0246 ,TUN,DJE,13,4
TU 0247 ,DJE,TUN,21,4
UG 0202 ,TUN,TBJ,13,4
TU 0208 ,DJE,NTE,15,4
TU 0208 ,TUN,DJE,13,4
TU 9074 ,TUN,MIR,2,4
TU 9078 ,DJE,TUN,14,4
TU 9007 ,MIR,DJE,3,4
TU 3443 ,CDG,TUN,5,3
TU 3541 ,BCN,TUN,8,3
TU 9004 ,NBE,DJE,19,3
TU 5003 ,TUN,JED,18,3
TU 0250 ,DJE,NCE,15,3
TU 0250 ,MIR,DJE,13,3
TU 5008 ,MED,TUN,13,3
TU 5007 ,MIR,JED,4,3
TU 5004 ,JED,TUN,0,3
TU 2509 ,CDG,DJE,3,3
TU 9064 ,MIR,TOE,4,3
TU 6344 ,DJE,CDG,13,3
TU 3540 ,TUN,BCN,6,3
UG 0500 ,DJE,SFA,6,3
UG 0501 ,SFA,DJE,15,3
UG 0501 ,SFA,TUN,12,3
TU 9008 ,MIR,DJE,3,3
TU 9007 ,NBE,MIR,21,3
TU 9007 ,TUN,MIR,5,3
TU 9031 ,MIR,TUN,7,3
TU 9030 ,DJE,TUN,0,3
TU 9030 ,TUN,DJE,4,3
TU 9030 ,TUN,MIR,1,3
TU 0735 ,ORY,TUN,17,3
TU 0735 ,DJE,MIR,22,3
TU 2661 ,CDG,DJE,15,3
TU 6018 ,JED,TOE,1,3
TU 9144 ,DJE,TUN,12,3
TU 6020 ,MED,DJE,1,3
TU 6019 ,TUN,MED,17,3
TU 9144 ,TUN,DJE,11,3
TU 0708 ,CZL,ORN,14,3
TU 0708 ,TUN,CZL,12,3
TU 9041 ,NBE,DJE,14,3
TU 9040 ,DJE,MIR,1,3
TU 2691 ,CDG,TUN,4,3
TU 9039 ,TUN,DJE,13,3
TU 9037 ,TOE,TUN,12,3
TU 9032 ,TUN,MIR,2,3
TU 9095 ,MIR,TUN,17,3
TU 9111 ,MIR,TUN,6,3
TU 6023 ,TOE,MED,21,3
TU 9044 ,TUN,DJE,3,3
TU 0680 ,TUN,MIR,7,3
TU 9047 ,MIR,TUN,21,3
TU 9047 ,NBE,DJE,21,3
TU 2720 ,TUN,ORY,11,3
TU 2724 ,TUN,ORY,18,3
TU 0745 ,FRA,MIR,12,3
TU 9017 ,TUN,DJE,4,3
TU 0751 ,MIR,TUN,15,3
TU 0745 ,TUN,MIR,13,3
TU 0750 ,MIR,LYS,9,3
TU 0750 ,TUN,MIR,8,3
TU 0751 ,LYS,MIR,12,3
TU 3120 ,DJE,CDG,1,3
TU 6015 ,SFA,JED,18,3
TU 6016 ,MED,SFA,0,3
TU 9025 ,TUN,DJE,2,3
TU 9037 ,TOE,DJE,12,3
TU 9029 ,MIR,TUN,5,3
TU 9027 ,MIR,DJE,20,3
TU 9027 ,MIR,TUN,0,3
TU 0727 ,DJE,MIR,14,3
TU 6003 ,TUN,JED,10,3
TU 6005 ,TUN,MED,6,3
TU 6011 ,TUN,JED,4,3
TU 9025 ,CDG,TUN,0,3
TU 9022 ,TUN,MIR,4,3
TU 9022 ,DJE,TUN,1,3
TU 9024 ,DJE,TUN,7,3
TU 9025 ,CDG,ORY,4,3
TU 0480 ,DJE,TUN,14,3
TU 0480 ,TUN,NTE,15,3
TU 9092 ,TUN,MIR,4,3
TU 9093 ,MIR,TUN,11,3
TU 9093 ,NBE,TUN,20,3
TU 6024 ,MED,TUN,2,3
TU 6025 ,TUN,JED,20,3
TU 9048 ,TUN,DJE,3,3
TU 6550 ,DJE,TUN,4,3
TU 6550 ,TUN,SXF,5,3
TU 9050 ,TUN,DJE,4,3
TU 0646 ,DJE,FRA,15,3
TU 0646 ,NBE,DJE,13,3
TU 9052 ,DJE,TUN,21,3
TU 9049 ,TUN,DJE,6,3
TU 6629 ,CAG,TUN,7,3
TU 5552 ,MED,TUN,0,3
TU 6002 ,JED,TOE,23,3
TU 6002 ,JED,TUN,0,3
TU 6001 ,TOE,JED,18,3
TU 6001 ,TUN,JED,18,3
TU 9021 ,MIR,TUN,8,3
TU 7452 ,NTE,MRS,20,3
TU 7450 ,DJE,CDG,13,3
TU 9014 ,TUN,DJE,3,3
TU 9013 ,MIR,TUN,10,3
TU 5519 ,TUN,JED,18,3
TU 5514 ,MED,TUN,1,3
TU 5522 ,MED,TUN,0,3
TU 5551 ,TUN,MED,17,3
TU 9015 ,NBE,TUN,14,3
TU 0773 ,TUN,JED,15,3
TU 0774 ,JED,TUN,21,3
TU 8601 ,CDG,NTE,8,3
TU 0788 ,SXF,BRU,11,3
TU 6628 ,TUN,CAG,6,3
TU 6026 ,TOE,TUN,11,3
TU 6030 ,MED,TOE,3,3
TU 3022 ,MIR,CDG,1,3
TU 6031 ,TUN,DJE,14,3
TU 6029 ,TOE,MED,22,3
TU 9085 ,DJE,TUN,19,3
TU 3010 ,TUN,LYS,8,3
TU 0634 ,TUN,ORY,7,3
TU 9053 ,TUN,DJE,12,3
TU 6540 ,MIR,TUN,10,3
TU 9055 ,DJE,TUN,13,3
TU 6541 ,DUS,TUN,15,3
TU 6541 ,TUN,MIR,18,3
TU 5064 ,JED,TUN,6,3
TU 3261 ,NCE,TUN,0,3
TU 3251 ,CDG,TUN,3,3
TU 5503 ,TUN,JED,19,3
TU 5504 ,JED,TUN,1,3
TU 5505 ,TUN,JED,18,3
TU 5509 ,TUN,MED,21,3
TU 5507 ,TUN,DJE,17,3
TU 5510 ,JED,TUN,1,3
TU 5508 ,JED,DJE,0,3
TU 9012 ,TUN,MIR,4,3
TU 9012 ,DJE,MIR,3,3
TU 0789 ,SXF,TUN,13,3
TU 0789 ,BRU,SXF,11,3
TU 0788 ,TUN,SXF,8,3
TU 8640 ,DJE,NTE,6,3
TU 9057 ,MIR,TUN,18,3
TU 6551 ,SXF,TUN,9,3
TU 6551 ,TUN,DJE,12,3
TU 6540 ,TUN,DUS,11,3
